Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
11,,,,2019-10-21 18:41:56,2019-10-21 18:41:59,"3,197s",INCOMPLETE
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 18:41:56,2019-10-21 18:41:58,"1,776s",PASSED
"response = sendRequest(findTestObject(""Create users"", [""title"":title, ""author"":author, ""Test"":Test]))",,,,2019-10-21 18:41:57,2019-10-21 18:41:58,"1,270s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 18:41:58,2019-10-21 18:41:58,"0,018s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 18:41:58,2019-10-21 18:41:58,"0,101s",PASSED
"verifyElementPropertyValue(response, ""author"", author)",,,,2019-10-21 18:41:58,2019-10-21 18:41:58,"0,062s",PASSED
"verifyElementPropertyValue(response, ""Test"", Test)",,,,2019-10-21 18:41:58,2019-10-21 18:41:58,"0,040s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 18:41:58,2019-10-21 18:41:59,"0,292s",PASSED
"response = sendRequest(findTestObject(""Create users"", [""title"":title, ""author"":author, ""Test"":Test]))",,,,2019-10-21 18:41:58,2019-10-21 18:41:58,"0,169s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 18:41:58,2019-10-21 18:41:59,"0,008s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,017s",PASSED
"verifyElementPropertyValue(response, ""author"", author)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,034s",PASSED
"verifyElementPropertyValue(response, ""Test"", Test)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,047s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,256s",PASSED
"response = sendRequest(findTestObject(""Create users"", [""title"":title, ""author"":author, ""Test"":Test]))",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,154s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,002s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,018s",PASSED
"verifyElementPropertyValue(response, ""author"", author)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,021s",PASSED
"verifyElementPropertyValue(response, ""Test"", Test)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,030s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,254s",PASSED
"response = sendRequest(findTestObject(""Create users"", [""title"":title, ""author"":author, ""Test"":Test]))",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,159s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,004s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,015s",PASSED
"verifyElementPropertyValue(response, ""author"", author)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,020s",PASSED
"verifyElementPropertyValue(response, ""Test"", Test)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,020s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,148s",PASSED
"response = sendRequest(findTestObject(""Create users"", [""title"":title, ""author"":author, ""Test"":Test]))",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,067s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,004s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,018s",PASSED
"verifyElementPropertyValue(response, ""author"", author)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,011s",PASSED
"verifyElementPropertyValue(response, ""Test"", Test)",,,,2019-10-21 18:41:59,2019-10-21 18:41:59,"0,015s",PASSED
