Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1,,,,2019-10-21 12:29:43,2019-10-21 12:29:49,"5,222s",INCOMPLETE
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:29:44,2019-10-21 12:29:46,"2,631s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:29:44,2019-10-21 12:29:46,"1,986s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:29:46,2019-10-21 12:29:46,"0,013s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:29:46,2019-10-21 12:29:46,"0,153s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:29:46,2019-10-21 12:29:46,"0,067s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:29:46,2019-10-21 12:29:46,"0,083s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:29:46,2019-10-21 12:29:46,"0,078s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:29:46,2019-10-21 12:29:47,"0,500s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:29:46,2019-10-21 12:29:47,"0,335s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:29:47,2019-10-21 12:29:47,"0,002s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:29:47,2019-10-21 12:29:47,"0,027s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:29:47,2019-10-21 12:29:47,"0,031s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:29:47,2019-10-21 12:29:47,"0,068s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:29:47,2019-10-21 12:29:47,"0,022s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:29:47,2019-10-21 12:29:48,"0,847s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:29:47,2019-10-21 12:29:47,"0,269s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:29:47,2019-10-21 12:29:47,"0,003s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:29:47,2019-10-21 12:29:47,"0,139s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:29:47,2019-10-21 12:29:47,"0,105s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:29:47,2019-10-21 12:29:48,"0,191s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:29:48,2019-10-21 12:29:48,"0,117s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:29:48,2019-10-21 12:29:48,"0,417s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:29:48,2019-10-21 12:29:48,"0,258s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:29:48,2019-10-21 12:29:48,"0,001s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:29:48,2019-10-21 12:29:48,"0,024s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:29:48,2019-10-21 12:29:48,"0,026s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:29:48,2019-10-21 12:29:48,"0,065s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:29:48,2019-10-21 12:29:48,"0,012s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:29:48,2019-10-21 12:29:49,"0,391s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:29:48,2019-10-21 12:29:49,"0,204s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:29:49,2019-10-21 12:29:49,"0,003s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:29:49,2019-10-21 12:29:49,"0,021s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:29:49,2019-10-21 12:29:49,"0,035s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:29:49,2019-10-21 12:29:49,"0,063s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:29:49,2019-10-21 12:29:49,"0,016s",PASSED
