Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1,,,,2019-10-21 12:31:38,2019-10-21 12:31:43,"4,924s",INCOMPLETE
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:31:39,2019-10-21 12:31:41,"2,558s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:31:39,2019-10-21 12:31:41,"2,026s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:31:41,2019-10-21 12:31:41,"0,012s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:31:41,2019-10-21 12:31:41,"0,108s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:31:41,2019-10-21 12:31:41,"0,039s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:31:41,2019-10-21 12:31:41,"0,075s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:31:41,2019-10-21 12:31:41,"0,029s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:31:41,2019-10-21 12:31:42,"0,487s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:31:41,2019-10-21 12:31:41,"0,309s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:31:41,2019-10-21 12:31:41,"0,003s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:31:41,2019-10-21 12:31:42,"0,028s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:31:42,2019-10-21 12:31:42,"0,023s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:31:42,2019-10-21 12:31:42,"0,067s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:31:42,2019-10-21 12:31:42,"0,042s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:31:42,2019-10-21 12:31:42,"0,451s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:31:42,2019-10-21 12:31:42,"0,230s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:31:42,2019-10-21 12:31:42,"0,002s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:31:42,2019-10-21 12:31:42,"0,072s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:31:42,2019-10-21 12:31:42,"0,033s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:31:42,2019-10-21 12:31:42,"0,077s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:31:42,2019-10-21 12:31:42,"0,016s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:31:42,2019-10-21 12:31:43,"0,533s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:31:42,2019-10-21 12:31:42,"0,297s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:31:42,2019-10-21 12:31:42,"0,002s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:31:42,2019-10-21 12:31:43,"0,040s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:31:43,2019-10-21 12:31:43,"0,049s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:31:43,2019-10-21 12:31:43,"0,090s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:31:43,2019-10-21 12:31:43,"0,022s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:31:43,2019-10-21 12:31:43,"0,499s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:31:43,2019-10-21 12:31:43,"0,259s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:31:43,2019-10-21 12:31:43,"0,002s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:31:43,2019-10-21 12:31:43,"0,025s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:31:43,2019-10-21 12:31:43,"0,036s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:31:43,2019-10-21 12:31:43,"0,063s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:31:43,2019-10-21 12:31:43,"0,014s",PASSED
