Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
11,,,,2019-10-21 18:30:07,2019-10-21 18:30:11,"3,914s",INCOMPLETE
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 18:30:07,2019-10-21 18:30:09,"1,751s",FAILED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 18:30:08,2019-10-21 18:30:09,"1,370s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 18:30:09,2019-10-21 18:30:09,"0,013s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 18:30:09,2019-10-21 18:30:09,"0,097s",FAILED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 18:30:09,2019-10-21 18:30:10,"0,288s",FAILED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 18:30:09,2019-10-21 18:30:09,"0,218s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 18:30:09,2019-10-21 18:30:09,"0,003s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 18:30:09,2019-10-21 18:30:09,"0,030s",FAILED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 18:30:10,2019-10-21 18:30:10,"0,267s",FAILED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 18:30:10,2019-10-21 18:30:10,"0,213s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 18:30:10,2019-10-21 18:30:10,"0,010s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 18:30:10,2019-10-21 18:30:10,"0,017s",FAILED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 18:30:10,2019-10-21 18:30:11,"0,886s",FAILED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 18:30:11,2019-10-21 18:30:11,"0,106s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 18:30:11,2019-10-21 18:30:11,"0,003s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 18:30:11,2019-10-21 18:30:11,"0,018s",FAILED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 18:30:11,2019-10-21 18:30:11,"0,267s",FAILED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 18:30:11,2019-10-21 18:30:11,"0,112s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 18:30:11,2019-10-21 18:30:11,"0,002s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 18:30:11,2019-10-21 18:30:11,"0,016s",FAILED
