Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
11,,,,2019-10-21 17:23:34,2019-10-21 17:23:39,"4,526s",INCOMPLETE
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 17:23:35,2019-10-21 17:23:37,"2,439s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 17:23:35,2019-10-21 17:23:37,"2,087s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 17:23:37,2019-10-21 17:23:37,"0,021s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 17:23:37,2019-10-21 17:23:37,"0,067s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 17:23:37,2019-10-21 17:23:38,"0,394s",FAILED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 17:23:37,2019-10-21 17:23:38,"0,320s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 17:23:38,2019-10-21 17:23:38,"0,005s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 17:23:38,2019-10-21 17:23:38,"0,044s",FAILED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 17:23:38,2019-10-21 17:23:38,"0,420s",FAILED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 17:23:38,2019-10-21 17:23:38,"0,354s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 17:23:38,2019-10-21 17:23:38,"0,013s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 17:23:38,2019-10-21 17:23:38,"0,026s",FAILED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 17:23:38,2019-10-21 17:23:39,"0,352s",FAILED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 17:23:38,2019-10-21 17:23:38,"0,260s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 17:23:38,2019-10-21 17:23:38,"0,003s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 17:23:38,2019-10-21 17:23:39,"0,017s",FAILED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 17:23:39,2019-10-21 17:23:39,"0,432s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 17:23:39,2019-10-21 17:23:39,"0,297s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 17:23:39,2019-10-21 17:23:39,"0,003s",PASSED
"verifyElementPropertyValue(response, ""title"", title)",,,,2019-10-21 17:23:39,2019-10-21 17:23:39,"0,023s",PASSED
