Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1,,,,2019-10-21 14:49:33,2019-10-21 14:49:38,"4,814s",INCOMPLETE
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 14:49:33,2019-10-21 14:49:36,"2,619s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 14:49:33,2019-10-21 14:49:36,"2,177s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 14:49:36,2019-10-21 14:49:36,"0,016s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 14:49:36,2019-10-21 14:49:36,"0,108s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 14:49:36,2019-10-21 14:49:36,"0,065s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 14:49:36,2019-10-21 14:49:36,"0,521s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 14:49:36,2019-10-21 14:49:36,"0,388s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 14:49:36,2019-10-21 14:49:36,"0,003s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 14:49:36,2019-10-21 14:49:36,"0,047s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 14:49:36,2019-10-21 14:49:36,"0,059s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 14:49:36,2019-10-21 14:49:37,"0,369s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 14:49:36,2019-10-21 14:49:37,"0,263s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 14:49:37,2019-10-21 14:49:37,"0,003s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 14:49:37,2019-10-21 14:49:37,"0,047s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 14:49:37,2019-10-21 14:49:37,"0,040s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 14:49:37,2019-10-21 14:49:37,"0,385s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 14:49:37,2019-10-21 14:49:37,"0,249s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 14:49:37,2019-10-21 14:49:37,"0,004s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 14:49:37,2019-10-21 14:49:37,"0,043s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 14:49:37,2019-10-21 14:49:37,"0,035s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 14:49:37,2019-10-21 14:49:38,"0,500s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 14:49:37,2019-10-21 14:49:38,"0,301s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 14:49:38,2019-10-21 14:49:38,"0,003s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 14:49:38,2019-10-21 14:49:38,"0,032s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 14:49:38,2019-10-21 14:49:38,"0,048s",PASSED
